,Date,Name,MCap
0,31-01-2014,Bitcoin,10238411609.169004
1,31-01-2014,Litecoin,560599230.3933004
2,31-01-2014,XRP,160298300.91823187
3,31-01-2014,Peercoin,126791451.29951945
4,31-01-2014,Dogecoin,63117322.12984666
5,31-01-2014,Nxt,60841312.99449493
6,31-01-2014,Omni,49812814.30261227
7,31-01-2014,Namecoin,45381593.87963894
8,31-01-2014,Quark,20307109.0047971
9,31-01-2014,BitShares PTS,17439354.28542756
10,28-02-2014,Bitcoin,6843354045.172119
11,28-02-2014,Litecoin,345606691.4199205
12,28-02-2014,Auroracoin,174525874.92387393
13,28-02-2014,XRP,106842894.9602277
14,28-02-2014,Peercoin,68733857.60084148
15,28-02-2014,Dogecoin,59135394.20896552
16,28-02-2014,Nxt,43752617.01033423
17,28-02-2014,Omni,29981523.864158604
18,28-02-2014,Namecoin,26682582.081296444
19,28-02-2014,BitShares PTS,22329568.719491463
20,31-03-2014,Bitcoin,5752294910.293576
21,31-03-2014,Litecoin,345019807.8688578
22,31-03-2014,XRP,68678021.76992798
23,31-03-2014,Peercoin,42370916.16641335
24,31-03-2014,Auroracoin,33838894.716183394
25,31-03-2014,Dogecoin,33267630.882439613
26,31-03-2014,Nxt,28296784.027888797
27,31-03-2014,Omni,19051638.91329574
28,31-03-2014,Namecoin,18996815.462240677
29,31-03-2014,BitShares PTS,9332324.255080823
30,30-04-2014,Bitcoin,5690814680.765529
31,30-04-2014,Litecoin,304767116.28175825
32,30-04-2014,Peercoin,46647942.78929131
33,30-04-2014,XRP,41934977.771862045
34,30-04-2014,Dogecoin,37748842.822603256
35,30-04-2014,Omni,22665787.94980624
36,30-04-2014,Nxt,21998066.43044712
37,30-04-2014,Namecoin,18625466.696834538
38,30-04-2014,BlackCoin,9170948.75756631
39,30-04-2014,MaidSafeCoin,7180175.651541189
40,31-05-2014,Bitcoin,8007251051.60065
41,31-05-2014,Litecoin,315570205.04210067
42,31-05-2014,Nxt,52294561.90491316
43,31-05-2014,Dash,49244151.23995974
44,31-05-2014,Peercoin,43673130.57075261
45,31-05-2014,XRP,32409187.865077954
46,31-05-2014,Dogecoin,27234165.675643906
47,31-05-2014,Namecoin,21024400.58900501
48,31-05-2014,BlackCoin,18374794.46514426
49,31-05-2014,Omni,14377374.876541158
50,30-06-2014,Bitcoin,8296104498.115542
51,30-06-2014,Litecoin,266443526.8648224
52,30-06-2014,Nxt,62083415.20412443
53,30-06-2014,Dash,39552011.0657587
54,30-06-2014,Peercoin,29599665.63217165
55,30-06-2014,XRP,29549127.16915372
56,30-06-2014,Dogecoin,22691607.70683142
57,30-06-2014,Namecoin,15379058.093903083
58,30-06-2014,BlackCoin,10541892.98638581
59,30-06-2014,Omni,9276763.632427242
60,31-07-2014,Bitcoin,7670835225.218204
61,31-07-2014,Litecoin,231571707.44542584
62,31-07-2014,Nxt,45126046.32412911
63,31-07-2014,XRP,42821612.59958966
64,31-07-2014,Dash,25186493.59080196
65,31-07-2014,Peercoin,24965194.32076539
66,31-07-2014,BitShares,19798725.480258185
67,31-07-2014,Dogecoin,18565311.108458437
68,31-07-2014,Namecoin,14757671.236324266
69,31-07-2014,MaidSafeCoin,12536937.347928962
70,31-08-2014,Bitcoin,6312805192.092893
71,31-08-2014,Litecoin,153639196.49629438
72,31-08-2014,XRP,141655969.85634091
73,31-08-2014,BitShares,60535603.58223899
74,31-08-2014,Nxt,26616307.91259756
75,31-08-2014,Peercoin,17026974.04381166
76,31-08-2014,Dogecoin,11927776.603390198
77,31-08-2014,Dash,11087255.813781617
78,31-08-2014,Namecoin,10364583.209276205
79,31-08-2014,MaidSafeCoin,8208782.896020061
80,30-09-2014,Bitcoin,5158621734.906009
81,30-09-2014,Litecoin,145447975.74826074
82,30-09-2014,XRP,134625290.318767
83,30-09-2014,BitShares,65758741.71524699
84,30-09-2014,Dogecoin,37365536.433034405
85,30-09-2014,Nxt,28251496.988762695
86,30-09-2014,Peercoin,21745349.254100088
87,30-09-2014,Dash,12685043.880206639
88,30-09-2014,Namecoin,10891747.883069528
89,30-09-2014,MaidSafeCoin,9141663.734409574
90,31-10-2014,Bitcoin,4549893656.57959
91,31-10-2014,XRP,141081688.05832627
92,31-10-2014,Litecoin,125390304.32267734
93,31-10-2014,BitShares,34702887.37589561
94,31-10-2014,Dogecoin,22420940.352192502
95,31-10-2014,Nxt,19421565.756706156
96,31-10-2014,Peercoin,17796789.141864303
97,31-10-2014,Namecoin,9103177.592760324
98,31-10-2014,MaidSafeCoin,8653133.531679157
99,31-10-2014,Dash,8616257.368721996
100,30-11-2014,Bitcoin,5125963514.887999
101,30-11-2014,XRP,346223397.21913683
102,30-11-2014,Litecoin,122633414.31348823
103,30-11-2014,BitShares,47475323.74496838
104,30-11-2014,Dogecoin,23290366.70217448
105,30-11-2014,Nxt,19224491.02164355
106,30-11-2014,Peercoin,16255400.131068915
107,30-11-2014,Counterparty,15184989.769320246
108,30-11-2014,MaidSafeCoin,12603431.343259817
109,30-11-2014,Dash,11695805.940758552
110,31-12-2014,Bitcoin,4377517176.742547
111,31-12-2014,XRP,757040854.5622696
112,31-12-2014,PayCoin,123666375.34255904
113,31-12-2014,Litecoin,95710526.8664683
114,31-12-2014,BitShares,40789236.36357552
115,31-12-2014,MaidSafeCoin,23598328.912472315
116,31-12-2014,Stellar,19619955.977705624
117,31-12-2014,Dogecoin,18139005.380532656
118,31-12-2014,Nxt,18031669.5705557
119,31-12-2014,Peercoin,13002612.107453326
120,31-01-2015,Bitcoin,2997693634.8941813
121,31-01-2015,XRP,442925713.63656753
122,31-01-2015,Litecoin,67578475.07917286
123,31-01-2015,BitShares,25292105.499877427
124,31-01-2015,PayCoin,22406366.311455924
125,31-01-2015,Stellar,15556405.642131837
126,31-01-2015,MaidSafeCoin,13636968.190960051
127,31-01-2015,Dogecoin,13615108.964944411
128,31-01-2015,Nxt,11332491.09939918
129,31-01-2015,Dash,8203048.100237249
130,28-02-2015,Bitcoin,3531770072.1321063
131,28-02-2015,XRP,414743661.8147075
132,28-02-2015,Litecoin,67868334.36612564
133,28-02-2015,BitShares,27330039.413571343
134,28-02-2015,Dash,16712478.776974764
135,28-02-2015,Dogecoin,14267574.532371024
136,28-02-2015,MaidSafeCoin,14086557.72702839
137,28-02-2015,Nxt,13187250.010768257
138,28-02-2015,PayCoin,11982245.327951254
139,28-02-2015,Stellar,11025363.655204061
140,31-03-2015,Bitcoin,3420119292.8466744
141,31-03-2015,XRP,247979029.7209495
142,31-03-2015,Litecoin,62410602.84906546
143,31-03-2015,Dash,21091727.919535726
144,31-03-2015,BitShares,15336340.708371809
145,31-03-2015,Dogecoin,12414267.61033786
146,31-03-2015,Stellar,12096611.857276373
147,31-03-2015,Nxt,9860576.366252655
148,31-03-2015,MaidSafeCoin,7965395.299936592
149,31-03-2015,PayCoin,7578583.644649282
150,30-04-2015,Bitcoin,3332098440.191268
151,30-04-2015,XRP,256197561.3705777
152,30-04-2015,Litecoin,55615335.12650864
153,30-04-2015,Dash,15835482.68752721
154,30-04-2015,Stellar,13173436.921999084
155,30-04-2015,MaidSafeCoin,10410550.701861553
156,30-04-2015,Dogecoin,10266889.696816875
